Testing with batch size 20, and 27500 iteration
Iterations:      0, Training Accuracy:  15.0%
Iterations:     50, Training Accuracy:  25.0%
Iterations:    100, Training Accuracy:  60.0%
Iterations:    150, Training Accuracy:  80.0%
Iterations:    200, Training Accuracy:  80.0%
Iterations:    250, Training Accuracy:  75.0%
Iterations:    300, Training Accuracy:  80.0%
Iterations:    350, Training Accuracy:  90.0%
Iterations:    400, Training Accuracy:  90.0%
Iterations:    450, Training Accuracy:  75.0%
Iterations:    500, Training Accuracy: 100.0%
Iterations:    550, Training Accuracy:  80.0%
Iterations:    600, Training Accuracy:  85.0%
Iterations:    650, Training Accuracy:  95.0%
Iterations:    700, Training Accuracy:  85.0%
Iterations:    750, Training Accuracy:  90.0%
Iterations:    800, Training Accuracy:  95.0%
Iterations:    850, Training Accuracy:  95.0%
Iterations:    900, Training Accuracy: 100.0%
Iterations:    950, Training Accuracy: 100.0%
Iterations:   1000, Training Accuracy:  80.0%
Iterations:   1050, Training Accuracy:  95.0%
Iterations:   1100, Training Accuracy:  90.0%
Iterations:   1150, Training Accuracy:  95.0%
Iterations:   1200, Training Accuracy:  95.0%
Iterations:   1250, Training Accuracy: 100.0%
Iterations:   1300, Training Accuracy:  90.0%
Iterations:   1350, Training Accuracy:  80.0%
Iterations:   1400, Training Accuracy:  90.0%
Iterations:   1450, Training Accuracy:  95.0%
Iterations:   1500, Training Accuracy:  95.0%
Iterations:   1550, Training Accuracy:  85.0%
Iterations:   1600, Training Accuracy: 100.0%
Iterations:   1650, Training Accuracy:  80.0%
Iterations:   1700, Training Accuracy:  95.0%
Iterations:   1750, Training Accuracy:  90.0%
Iterations:   1800, Training Accuracy:  95.0%
Iterations:   1850, Training Accuracy:  90.0%
Iterations:   1900, Training Accuracy:  90.0%
Iterations:   1950, Training Accuracy:  90.0%
Iterations:   2000, Training Accuracy: 100.0%
Iterations:   2050, Training Accuracy:  90.0%
Iterations:   2100, Training Accuracy:  95.0%
Iterations:   2150, Training Accuracy:  95.0%
Iterations:   2200, Training Accuracy: 100.0%
Iterations:   2250, Training Accuracy: 100.0%
Iterations:   2300, Training Accuracy:  90.0%
Iterations:   2350, Training Accuracy:  95.0%
Iterations:   2400, Training Accuracy: 100.0%
Iterations:   2450, Training Accuracy:  95.0%
Iterations:   2500, Training Accuracy: 100.0%
Iterations:   2550, Training Accuracy:  90.0%
Iterations:   2600, Training Accuracy:  95.0%
Iterations:   2650, Training Accuracy: 100.0%
Iterations:   2700, Training Accuracy:  95.0%
Iterations:   2750, Training Accuracy: 100.0%
Iterations:   2800, Training Accuracy: 100.0%
Iterations:   2850, Training Accuracy: 100.0%
Iterations:   2900, Training Accuracy:  95.0%
Iterations:   2950, Training Accuracy:  95.0%
Iterations:   3000, Training Accuracy:  95.0%
Iterations:   3050, Training Accuracy: 100.0%
Iterations:   3100, Training Accuracy:  90.0%
Iterations:   3150, Training Accuracy:  95.0%
Iterations:   3200, Training Accuracy:  90.0%
Iterations:   3250, Training Accuracy: 100.0%
Iterations:   3300, Training Accuracy: 100.0%
Iterations:   3350, Training Accuracy:  95.0%
Iterations:   3400, Training Accuracy: 100.0%
Iterations:   3450, Training Accuracy:  95.0%
Iterations:   3500, Training Accuracy:  90.0%
Iterations:   3550, Training Accuracy:  95.0%
Iterations:   3600, Training Accuracy: 100.0%
Iterations:   3650, Training Accuracy: 100.0%
Iterations:   3700, Training Accuracy:  95.0%
Iterations:   3750, Training Accuracy:  95.0%
Iterations:   3800, Training Accuracy:  95.0%
Iterations:   3850, Training Accuracy:  95.0%
Iterations:   3900, Training Accuracy: 100.0%
Iterations:   3950, Training Accuracy:  95.0%
Iterations:   4000, Training Accuracy: 100.0%
Iterations:   4050, Training Accuracy: 100.0%
Iterations:   4100, Training Accuracy:  95.0%
Iterations:   4150, Training Accuracy:  95.0%
Iterations:   4200, Training Accuracy: 100.0%
Iterations:   4250, Training Accuracy: 100.0%
Iterations:   4300, Training Accuracy: 100.0%
Iterations:   4350, Training Accuracy:  95.0%
Iterations:   4400, Training Accuracy: 100.0%
Iterations:   4450, Training Accuracy: 100.0%
Iterations:   4500, Training Accuracy: 100.0%
Iterations:   4550, Training Accuracy:  85.0%
Iterations:   4600, Training Accuracy: 100.0%
Iterations:   4650, Training Accuracy: 100.0%
Iterations:   4700, Training Accuracy:  95.0%
Iterations:   4750, Training Accuracy: 100.0%
Iterations:   4800, Training Accuracy: 100.0%
Iterations:   4850, Training Accuracy:  90.0%
Iterations:   4900, Training Accuracy: 100.0%
Iterations:   4950, Training Accuracy:  90.0%
Iterations:   5000, Training Accuracy: 100.0%
Iterations:   5050, Training Accuracy: 100.0%
Iterations:   5100, Training Accuracy:  95.0%
Iterations:   5150, Training Accuracy:  95.0%
Iterations:   5200, Training Accuracy: 100.0%
Iterations:   5250, Training Accuracy:  95.0%
Iterations:   5300, Training Accuracy:  95.0%
Iterations:   5350, Training Accuracy: 100.0%
Iterations:   5400, Training Accuracy: 100.0%
Iterations:   5450, Training Accuracy:  95.0%
Iterations:   5500, Training Accuracy:  95.0%
Iterations:   5550, Training Accuracy: 100.0%
Iterations:   5600, Training Accuracy: 100.0%
Iterations:   5650, Training Accuracy:  95.0%
Iterations:   5700, Training Accuracy:  95.0%
Iterations:   5750, Training Accuracy: 100.0%
Iterations:   5800, Training Accuracy: 100.0%
Iterations:   5850, Training Accuracy: 100.0%
Iterations:   5900, Training Accuracy: 100.0%
Iterations:   5950, Training Accuracy:  95.0%
Iterations:   6000, Training Accuracy: 100.0%
Iterations:   6050, Training Accuracy: 100.0%
Iterations:   6100, Training Accuracy: 100.0%
Iterations:   6150, Training Accuracy:  90.0%
Iterations:   6200, Training Accuracy: 100.0%
Iterations:   6250, Training Accuracy: 100.0%
Iterations:   6300, Training Accuracy: 100.0%
Iterations:   6350, Training Accuracy: 100.0%
Iterations:   6400, Training Accuracy: 100.0%
Iterations:   6450, Training Accuracy:  95.0%
Iterations:   6500, Training Accuracy:  95.0%
Iterations:   6550, Training Accuracy:  95.0%
Iterations:   6600, Training Accuracy:  95.0%
Iterations:   6650, Training Accuracy: 100.0%
Iterations:   6700, Training Accuracy: 100.0%
Iterations:   6750, Training Accuracy: 100.0%
Iterations:   6800, Training Accuracy: 100.0%
Iterations:   6850, Training Accuracy: 100.0%
Iterations:   6900, Training Accuracy: 100.0%
